Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.29928,-2.6383E-08,0.087595,0,0,0,0.22457,0.00043675,-1.7875E-10,-1.6661E-05,0.00014803,1.1703E-09,0.00051388,0,0,0,0,0,0,package://stair_climber/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://stair_climber/meshes/base_link.STL,,motor-1;motor-2;camera_staff-1-1/rod_out-1;L clamp-1;track-1-2/track_system-1;track-1-1/track_system-1;camera_rod-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_large_wheel,-8.3267E-17,-6.7342E-07,-5.5511E-17,0,0,0,0.78039,0.0017349,-2.7297E-19,-1.339E-20,0.0028684,4.6049E-19,0.0017349,0,0,0,0,0,0,package://stair_climber/meshes/front_left_large_wheel.STL,1,0,0,1,0,0,0,0,0,0,package://stair_climber/meshes/front_left_large_wheel.STL,,track-1-1/large_wheel1-1,Origin_front_left_large_wheel,Axis_front_left_large_wheel,front_left_large_wheel,continuous,0.30118,0.255,0.0844,0,0,0,base_link,0,1,0,,,,,,,,,,,,
front_right_large_wheel,0,-6.7342E-07,-2.7756E-17,0,0,0,0.78039,0.0017349,5.4823E-19,-1.613E-20,0.0028684,-5.7522E-19,0.0017349,0,0,0,0,0,0,package://stair_climber/meshes/front_right_large_wheel.STL,1,0,0,1,0,0,0,0,0,0,package://stair_climber/meshes/front_right_large_wheel.STL,,track-1-2/large_wheel1-1,Origin_front_right_large_wheel,Axis_front_right_large_wheel,front_right_large_wheel,continuous,0.30118,-0.255,0.0844,0,0,0,base_link,0,1,0,,,,,,,,,,,,
front_left_small_wheel,-3.8858E-16,-3.8217E-07,4.7184E-16,0,0,0,0.31269,0.0003624,-2.8909E-20,9.015E-21,0.00050138,1.2006E-19,0.0003624,0,0,0,0,0,0,package://stair_climber/meshes/front_left_small_wheel.STL,1,0,0,1,0,0,0,0,0,0,package://stair_climber/meshes/front_left_small_wheel.STL,,track-1-1/small_wheel1-2,Origin_front_left_small_wheel,Axis_front_left_small_wheel,front_left_small_wheel,continuous,0.18654,0.255,-0.0656,0,0,0,base_link,0,1,0,,,,,,,,,,,,
front_right_small_wheel,0,-3.8217E-07,-3.4694E-18,0,0,0,0.31269,0.0003624,7.0996E-20,9.9779E-21,0.00050138,4.582E-21,0.0003624,0,0,0,0,0,0,package://stair_climber/meshes/front_right_small_wheel.STL,1,0,0,1,0,0,0,0,0,0,package://stair_climber/meshes/front_right_small_wheel.STL,,track-1-2/small_wheel1-2,Origin_front_right_small_wheel,Axis_front_right_small_wheel,front_right_small_wheel,continuous,0.18654,-0.255,-0.0656,0,0,0,base_link,0,1,0,,,,,,,,,,,,
rear_left_small_wheel,-4.996E-16,-3.8217E-07,4.7878E-16,0,0,0,0.31269,0.0003624,-5.2962E-20,9.9779E-21,0.00050138,5.0804E-20,0.0003624,0,0,0,0,0,0,package://stair_climber/meshes/rear_left_small_wheel.STL,1,0,0,1,0,0,0,0,0,0,package://stair_climber/meshes/rear_left_small_wheel.STL,,track-1-1/small_wheel1-1,Origin_rear_left_small_wheel,Axis_rear_left_small_wheel,rear_left_small_wheel,continuous,-0.36346,0.255,-0.0656,0,0,0,base_link,0,1,0,,,,,,,,,,,,
rear_right_small_wheel,-5.5511E-17,-3.8217E-07,0,0,0,0,0.31269,0.0003624,5.2766E-20,8.4875E-21,0.00050138,3.9357E-21,0.0003624,0,0,0,0,0,0,package://stair_climber/meshes/rear_right_small_wheel.STL,1,0,0,1,0,0,0,0,0,0,package://stair_climber/meshes/rear_right_small_wheel.STL,,track-1-2/small_wheel1-1,Origin_rear_right_small_wheel,Axis_rear_right_small_wheel,rear_right_small_wheel,continuous,-0.36346,-0.255,-0.0656,0,0,0,base_link,0,1,0,,,,,,,,,,,,
lifter_base,-0.17875,0.0077953,0.23116,0,0,0,2.9505,0.022818,4.8744E-19,-2.4381E-19,0.085398,-0.001011,0.063079,0,0,0,0,0,0,package://stair_climber/meshes/lifter_base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stair_climber/meshes/lifter_base.STL,,motor_support-2;motor_support-1;chassis_plat-1;chassis_plat-2;chassis_plat-3;Lifter-1/Base-1,Origin_lifter_base,,lifter_base,fixed,0.14057,0.17875,-0.026998,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
rear_proximity,0.0062452,3.2017E-05,-0.0014786,0,0,0,0.027653,2.3096E-05,7.8475E-12,-1.1478E-08,8.4763E-07,6.099E-09,2.2578E-05,0,0,0,0,0,0,package://stair_climber/meshes/rear_proximity.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://stair_climber/meshes/rear_proximity.STL,,proximity_array-1,Origin_rear_proximity,,rear_proximity,fixed,-0.17875,0.0096015,0.48894,0,0,1.5708,lifter_base,0,0,0,,,,,,,,,,,,
lifter_base_imu,0.00031574,0.0023809,0.0025315,0,0,0,0.0076507,6.2819E-07,1.9039E-09,-2.2873E-08,1.0276E-06,1.2547E-08,4.4643E-07,0,0,0,0,0,0,package://stair_climber/meshes/lifter_base_imu.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stair_climber/meshes/lifter_base_imu.STL,,IMU VN 200-1,Origin_lifter_base_imu,,lifter_base_imu,fixed,-0.17875,0.0066015,0.01823,0,0,3.1416,lifter_base,0,0,0,,,,,,,,,,,,
lifter,-0.23492,-2.1915E-09,-0.0011098,0,0,0,1.2527,0.019426,4.789E-10,-4.4821E-05,0.0305,2.0862E-11,0.049823,0,0,0,0,0,0,package://stair_climber/meshes/lifter.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stair_climber/meshes/lifter.STL,,Lifter-1/dump_plate-1-1,Origin_lifter,Axis_lifter,lifter,continuous,-0.17875,-0.043898,0.064012,0,1.5673,-1.5708,lifter_base,0,1,0,,,,,,,,,,,,
lifter_imu,-0.017684,0.0043809,0.036435,0,0,0,0.0076507,6.2819E-07,1.9039E-09,-2.2873E-08,1.0276E-06,1.2547E-08,4.4643E-07,0,0,0,0,0,0,package://stair_climber/meshes/lifter_imu.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stair_climber/meshes/lifter_imu.STL,,IMU VN 200-5,Origin_lifter_imu,Axis_lifter_imu,lifter_imu,fixed,7.1068E-05,-0.018,0,1.5708,0,-1.5708,lifter,0,0,0,,,,,,,,,,,,
front_proximity,0.0062452,3.2017E-05,-0.0014786,0,0,0,0.027653,2.3096E-05,7.8475E-12,-1.1478E-08,8.4763E-07,6.099E-09,2.2578E-05,0,0,0,0,0,0,package://stair_climber/meshes/front_proximity.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://stair_climber/meshes/front_proximity.STL,,proximity_array-2,Origin_front_proximity,,front_proximity,fixed,0.35767,0,0.09975,0,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
kinect_rod,2.945E-06,2.8388E-06,2.5103E-16,0,0,0,0.002763,1.4164E-06,2.5328E-22,5.0848E-23,7.0291E-08,-2.9899E-23,1.4183E-06,0,0,0,0,0,0,package://stair_climber/meshes/kinect_rod.STL,0.77255,0.75294,0.73333,1,0,0,0,0,0,0,package://stair_climber/meshes/kinect_rod.STL,,camera_staff-1-1/rod_in-1-1,Origin_kinect_rod,,kinect_rod,fixed,0.32265,0,0.19023,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
